interleave_depth,fixed_interval,seed,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,final_sdc_words,final_dangerous_words,new_due_count,repeated_due_detections,interval_switches,memory_busy_cycles,busy_per_mille,busy_percent
1,1089,1,fixed,50000,45,11520,9,9,255,11,8,19,11,244,0,11529,230,23.0
1,1089,2,fixed,50000,45,11520,15,15,130,4,15,19,4,126,0,11535,230,23.0
1,1089,3,fixed,50000,45,11520,14,14,162,6,14,20,6,156,0,11534,230,23.0
1,1089,4,fixed,50000,45,11520,18,18,44,1,18,19,1,43,0,11538,230,23.0
1,1089,5,fixed,50000,45,11520,14,14,129,5,15,20,5,124,0,11534,230,23.0
1,1089,6,fixed,50000,45,11520,11,11,209,8,9,17,8,201,0,11531,230,23.0
1,1089,7,fixed,50000,45,11520,13,13,240,7,13,20,7,233,0,11533,230,23.0
1,1089,8,fixed,50000,45,11520,15,15,170,5,14,19,5,165,0,11535,230,23.0
1,1089,9,fixed,50000,45,11520,15,15,130,5,15,20,5,125,0,11535,230,23.0
1,1089,10,fixed,50000,45,11520,12,12,233,8,11,19,8,225,0,11532,230,23.0
1,1244,1,fixed,50000,39,10054,9,9,220,11,8,19,11,209,0,10063,201,20.1
1,1244,2,fixed,50000,39,10054,15,15,112,4,15,19,4,108,0,10069,201,20.1
1,1244,3,fixed,50000,39,10054,14,14,141,6,14,20,6,135,0,10068,201,20.1
1,1244,4,fixed,50000,39,10054,18,18,38,1,18,19,1,37,0,10072,201,20.1
1,1244,5,fixed,50000,39,10054,15,15,112,5,15,20,5,107,0,10069,201,20.1
1,1244,6,fixed,50000,39,10054,11,11,183,8,9,17,8,175,0,10065,201,20.1
1,1244,7,fixed,50000,39,10054,13,13,211,7,13,20,7,204,0,10067,201,20.1
1,1244,8,fixed,50000,39,10054,15,15,148,5,14,19,5,143,0,10069,201,20.1
1,1244,9,fixed,50000,39,10054,15,15,112,5,15,20,5,107,0,10069,201,20.1
1,1244,10,fixed,50000,39,10054,12,12,206,8,11,19,8,198,0,10066,201,20.1
1,1555,1,fixed,50000,31,8004,9,9,176,11,8,19,10,166,0,8013,160,16.0
1,1555,2,fixed,50000,31,8004,15,15,90,4,15,19,4,86,0,8019,160,16.0
1,1555,3,fixed,50000,31,8004,13,13,113,6,14,20,6,107,0,8017,160,16.0
1,1555,4,fixed,50000,31,8004,18,18,30,1,18,19,1,29,0,8022,160,16.0
1,1555,5,fixed,50000,31,8004,15,15,88,5,15,20,5,83,0,8019,160,16.0
1,1555,6,fixed,50000,31,8004,11,11,146,8,9,17,8,138,0,8015,160,16.0
1,1555,7,fixed,50000,31,8004,13,13,167,7,13,20,7,160,0,8017,160,16.0
1,1555,8,fixed,50000,31,8004,13,13,117,5,14,19,5,112,0,8017,160,16.0
1,1555,9,fixed,50000,31,8004,15,15,89,5,15,20,5,84,0,8019,160,16.0
1,1555,10,fixed,50000,31,8004,12,12,165,8,11,19,8,157,0,8016,160,16.0
1,2021,1,fixed,50000,24,6144,9,9,139,11,8,19,11,128,0,6153,123,12.3
1,2021,2,fixed,50000,24,6144,15,15,70,4,15,19,4,66,0,6159,123,12.3
1,2021,3,fixed,50000,24,6144,14,14,87,6,14,20,6,81,0,6158,123,12.3
1,2021,4,fixed,50000,24,6144,17,17,24,1,18,19,1,23,0,6161,123,12.3
1,2021,5,fixed,50000,24,6144,14,14,68,5,15,20,5,63,0,6158,123,12.3
1,2021,6,fixed,50000,24,6144,11,11,113,8,9,17,8,105,0,6155,123,12.3
1,2021,7,fixed,50000,24,6144,13,13,130,7,13,20,7,123,0,6157,123,12.3
1,2021,8,fixed,50000,24,6144,13,13,113,6,13,19,6,107,0,6157,123,12.3
1,2021,9,fixed,50000,24,6144,15,15,71,5,15,20,5,66,0,6159,123,12.3
1,2021,10,fixed,50000,24,6144,12,12,125,8,11,19,7,118,0,6156,123,12.3
1,2400,1,fixed,50000,20,5120,9,9,114,11,8,19,10,104,0,5129,102,10.2
1,2400,2,fixed,50000,20,5120,14,14,59,4,15,19,4,55,0,5134,102,10.2
1,2400,3,fixed,50000,20,5120,13,13,73,6,14,20,6,67,0,5133,102,10.2
1,2400,4,fixed,50000,20,5120,16,16,20,1,18,19,1,19,0,5136,102,10.2
1,2400,5,fixed,50000,20,5120,14,14,57,5,15,20,5,52,0,5134,102,10.2
1,2400,6,fixed,50000,20,5120,11,11,93,8,9,17,8,85,0,5131,102,10.2
1,2400,7,fixed,50000,20,5120,13,13,109,7,13,20,7,102,0,5133,102,10.2
1,2400,8,fixed,50000,20,5120,13,13,77,5,14,19,5,72,0,5133,102,10.2
1,2400,9,fixed,50000,20,5120,15,15,58,5,15,20,5,53,0,5135,102,10.2
1,2400,10,fixed,50000,20,5120,11,11,105,8,11,19,7,98,0,5131,102,10.2
2,1089,1,fixed,50000,45,11520,19,19,406,19,0,19,19,387,0,11539,230,23.0
2,1089,2,fixed,50000,45,11520,20,20,427,18,1,19,19,408,0,11540,230,23.0
2,1089,3,fixed,50000,45,11520,20,20,508,18,2,20,20,488,0,11540,230,23.0
2,1089,4,fixed,50000,45,11520,20,20,470,19,0,19,19,451,0,11540,230,23.0
2,1089,5,fixed,50000,45,11520,19,19,498,20,0,20,19,479,0,11539,230,23.0
2,1089,6,fixed,50000,45,11520,20,20,472,16,1,17,17,455,0,11540,230,23.0
2,1089,7,fixed,50000,45,11520,20,20,626,19,1,20,20,606,0,11540,230,23.0
2,1089,8,fixed,50000,45,11520,19,19,488,18,1,19,19,469,0,11539,230,23.0
2,1089,9,fixed,50000,45,11520,20,20,506,18,1,19,20,486,0,11540,230,23.0
2,1089,10,fixed,50000,45,11520,18,18,464,19,0,19,19,445,0,11538,230,23.0
2,1244,1,fixed,50000,39,10054,19,19,349,19,0,19,19,330,0,10073,201,20.1
2,1244,2,fixed,50000,39,10054,20,20,372,18,1,19,19,353,0,10074,201,20.1
2,1244,3,fixed,50000,39,10054,20,20,440,18,2,20,20,420,0,10074,201,20.1
2,1244,4,fixed,50000,39,10054,20,20,413,19,0,19,19,394,0,10074,201,20.1
2,1244,5,fixed,50000,39,10054,20,20,437,20,0,20,20,417,0,10074,201,20.1
2,1244,6,fixed,50000,39,10054,20,20,413,16,1,17,17,396,0,10074,201,20.1
2,1244,7,fixed,50000,39,10054,20,20,545,19,1,20,20,525,0,10074,201,20.1
2,1244,8,fixed,50000,39,10054,19,19,427,18,1,19,19,408,0,10073,201,20.1
2,1244,9,fixed,50000,39,10054,20,20,446,18,1,19,20,426,0,10074,201,20.1
2,1244,10,fixed,50000,39,10054,18,18,409,19,0,19,19,390,0,10072,201,20.1
2,1555,1,fixed,50000,31,8004,19,19,280,19,0,19,18,262,0,8023,160,16.0
2,1555,2,fixed,50000,31,8004,20,20,296,18,1,19,19,277,0,8024,160,16.0
2,1555,3,fixed,50000,31,8004,19,19,350,18,2,20,19,331,0,8023,160,16.0
2,1555,4,fixed,50000,31,8004,20,20,330,19,0,19,19,311,0,8024,160,16.0
2,1555,5,fixed,50000,31,8004,20,20,350,20,0,20,20,330,0,8024,160,16.0
2,1555,6,fixed,50000,31,8004,20,20,330,16,1,17,17,313,0,8024,160,16.0
2,1555,7,fixed,50000,31,8004,20,20,435,19,1,20,20,415,0,8024,160,16.0
2,1555,8,fixed,50000,31,8004,18,18,338,18,1,19,17,321,0,8022,160,16.0
2,1555,9,fixed,50000,31,8004,20,20,356,18,1,19,20,336,0,8024,160,16.0
2,1555,10,fixed,50000,31,8004,18,18,326,19,0,19,19,307,0,8022,160,16.0
2,2021,1,fixed,50000,24,6144,19,19,219,19,0,19,19,200,0,6163,123,12.3
2,2021,2,fixed,50000,24,6144,20,20,231,18,1,19,19,212,0,6164,123,12.3
2,2021,3,fixed,50000,24,6144,20,20,272,18,2,20,20,252,0,6164,123,12.3
2,2021,4,fixed,50000,24,6144,19,19,251,19,0,19,18,233,0,6163,123,12.3
2,2021,5,fixed,50000,24,6144,19,19,268,20,0,20,19,249,0,6163,123,12.3
2,2021,6,fixed,50000,24,6144,20,20,254,16,1,17,17,237,0,6164,123,12.3
2,2021,7,fixed,50000,24,6144,20,20,337,19,1,20,20,317,0,6164,123,12.3
2,2021,8,fixed,50000,24,6144,17,17,286,19,1,20,19,267,0,6161,123,12.3
2,2021,9,fixed,50000,24,6144,20,20,273,18,1,19,20,253,0,6164,123,12.3
2,2021,10,fixed,50000,24,6144,17,17,251,19,0,19,18,233,0,6161,123,12.3
2,2400,1,fixed,50000,20,5120,18,18,181,19,0,19,18,163,0,5138,102,10.2
2,2400,2,fixed,50000,20,5120,19,19,192,18,1,19,18,174,0,5139,102,10.2
2,2400,3,fixed,50000,20,5120,19,19,228,18,2,20,19,209,0,5139,102,10.2
2,2400,4,fixed,50000,20,5120,18,18,213,19,0,19,17,196,0,5138,102,10.2
2,2400,5,fixed,50000,20,5120,19,19,222,20,0,20,19,203,0,5139,102,10.2
2,2400,6,fixed,50000,20,5120,19,19,211,16,1,17,17,194,0,5139,102,10.2
2,2400,7,fixed,50000,20,5120,20,20,281,19,1,20,20,261,0,5140,102,10.2
2,2400,8,fixed,50000,20,5120,18,18,219,18,1,19,16,203,0,5138,102,10.2
2,2400,9,fixed,50000,20,5120,20,20,228,18,1,19,20,208,0,5140,102,10.2
2,2400,10,fixed,50000,20,5120,16,16,210,19,0,19,17,193,0,5136,102,10.2
3,1089,1,fixed,50000,45,11520,60,60,0,0,0,0,0,0,0,11580,231,23.1
3,1089,2,fixed,50000,45,11520,60,60,0,0,0,0,0,0,0,11580,231,23.1
3,1089,3,fixed,50000,45,11520,60,60,0,0,0,0,0,0,0,11580,231,23.1
3,1089,4,fixed,50000,45,11520,60,60,0,0,0,0,0,0,0,11580,231,23.1
3,1089,5,fixed,50000,45,11520,57,57,0,0,0,0,0,0,0,11577,231,23.1
3,1089,6,fixed,50000,45,11520,60,60,0,0,0,0,0,0,0,11580,231,23.1
3,1089,7,fixed,50000,45,11520,60,60,0,0,0,0,0,0,0,11580,231,23.1
3,1089,8,fixed,50000,45,11520,60,60,0,0,0,0,0,0,0,11580,231,23.1
3,1089,9,fixed,50000,45,11520,60,60,0,0,0,0,0,0,0,11580,231,23.1
3,1089,10,fixed,50000,45,11520,60,60,0,0,0,0,0,0,0,11580,231,23.1
3,1244,1,fixed,50000,39,10054,60,60,0,0,0,0,0,0,0,10114,202,20.2
3,1244,2,fixed,50000,39,10054,60,60,0,0,0,0,0,0,0,10114,202,20.2
3,1244,3,fixed,50000,39,10054,60,60,0,0,0,0,0,0,0,10114,202,20.2
3,1244,4,fixed,50000,39,10053,60,60,0,0,0,0,0,0,0,10113,202,20.2
3,1244,5,fixed,50000,39,10053,60,60,0,0,0,0,0,0,0,10113,202,20.2
3,1244,6,fixed,50000,39,10054,60,60,0,0,0,0,0,0,0,10114,202,20.2
3,1244,7,fixed,50000,39,10054,60,60,0,0,0,0,0,0,0,10114,202,20.2
3,1244,8,fixed,50000,39,10054,60,60,0,0,0,0,0,0,0,10114,202,20.2
3,1244,9,fixed,50000,39,10054,60,60,0,0,0,0,0,0,0,10114,202,20.2
3,1244,10,fixed,50000,39,10053,60,60,0,0,0,0,0,0,0,10113,202,20.2
3,1555,1,fixed,50000,31,8004,59,59,0,0,0,0,0,0,0,8063,161,16.1
3,1555,2,fixed,50000,31,8003,60,60,0,0,0,0,0,0,0,8063,161,16.1
3,1555,3,fixed,50000,31,8004,57,57,0,0,0,0,0,0,0,8061,161,16.1
3,1555,4,fixed,50000,31,8003,60,60,0,0,0,0,0,0,0,8063,161,16.1
3,1555,5,fixed,50000,31,8003,60,60,0,0,0,0,0,0,0,8063,161,16.1
3,1555,6,fixed,50000,31,8004,60,60,0,0,0,0,0,0,0,8064,161,16.1
3,1555,7,fixed,50000,31,8004,60,60,0,0,0,0,0,0,0,8064,161,16.1
3,1555,8,fixed,50000,31,8004,54,54,0,0,0,0,0,0,0,8058,161,16.1
3,1555,9,fixed,50000,31,8004,60,60,0,0,0,0,0,0,0,8064,161,16.1
3,1555,10,fixed,50000,31,8003,60,60,0,0,0,0,0,0,0,8063,161,16.1
3,2021,1,fixed,50000,24,6144,60,60,0,0,0,0,0,0,0,6204,124,12.4
3,2021,2,fixed,50000,24,6144,60,60,0,0,0,0,0,0,0,6204,124,12.4
3,2021,3,fixed,50000,24,6144,60,60,0,0,0,0,0,0,0,6204,124,12.4
3,2021,4,fixed,50000,24,6144,57,57,0,0,0,0,0,0,0,6201,124,12.4
3,2021,5,fixed,50000,24,6144,57,57,0,0,0,0,0,0,0,6201,124,12.4
3,2021,6,fixed,50000,24,6144,60,60,0,0,0,0,0,0,0,6204,124,12.4
